registration,reg_country_prefix,aoc,aircraft_type_raw,aircraft_variant,aircraft_msn,wo_count,first_issue_date,last_issue_date,max_total_hours,max_total_cycles,top_station,distinct_stations,top_ata_chapter
EI-REG00026,EI,Ryanair DAC (Ireland),B737-8,737-800,38492,15,2025-01-05,2026-07-04,52163.4,28095,BCN,10,25
EI-REG00052,EI,Ryanair DAC (Ireland),M73-82,737-8200,62306,15,2025-01-31,2026-04-29,15979.5,7611,MAD,12,25
9H-REG00092,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65077,15,2025-04-03,2026-08-20,18628.0,9612,TFS,11,25
9H-REG00111,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44792,15,2025-01-15,2026-08-30,27452.8,17138,MAD,11,25
9H-REG00130,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65886,15,2025-05-08,2026-08-13,17862.1,9455,STN,9,33
9H-REG00146,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44757,15,2025-02-28,2026-08-02,29276.0,18436,GRO,13,33
SP-REG00147,SP,Buzz (Poland),B737-8,737-800,44809,15,2025-02-12,2026-07-19,26941.4,14216,POZ,7,33
EI-REG00151,EI,Ryanair DAC (Ireland),M73-82,737-8200,62359,15,2025-02-15,2026-09-12,12354.8,5890,MXP,13,33
9H-REG00156,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44756,15,2025-01-07,2026-08-22,29085.3,18160,MAN,12,23
9H-REG00221,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44825,15,2025-01-10,2026-06-07,24608.8,13508,MXP,9,33
EI-REG00285,EI,Ryanair DAC (Ireland),M73-82,737-8200,65887,15,2024-12-31,2026-08-14,17672.5,8284,ALC,10,33
9H-REG00297,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44766,15,2025-02-24,2026-08-07,28112.8,17462,MAN,11,33
9H-REG00308,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44754,15,2025-01-02,2026-07-23,28704.1,17967,BER,9,33
9H-REG00321,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44703,15,2025-02-03,2026-09-03,33422.0,19685,BLQ,10,25
EI-REG00330,EI,Ryanair DAC (Ireland),B737-8,737-800,44837,15,2025-02-07,2026-08-27,26686.8,12404,STN,10,33
EI-REG00335,EI,Ryanair DAC (Ireland),B737-8,737-800,33591,15,2025-02-21,2026-08-14,63679.6,37584,BLQ,10,26
9H-REG00336,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44755,15,2025-01-08,2026-09-10,29025.6,17995,MXP,13,33
SP-REG00342,SP,Buzz (Poland),B737-8,737-800,44850,15,2025-01-21,2026-08-13,24595.4,12901,WMI,9,25
9H-REG00381,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65895,15,2025-02-13,2026-06-26,14939.0,7933,ALC,8,33
9H-REG00427,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44816,15,2025-02-25,2026-08-24,26304.9,14516,TPS,13,33
EI-REG00460,EI,Ryanair DAC (Ireland),B737-8,737-800,35016,15,2025-01-07,2026-08-09,56051.7,29785,SCQ,12,25
EI-REG00470,EI,Ryanair DAC (Ireland),M73-82,737-8200,67094,15,2025-02-01,2026-08-28,10540.6,4877,OPO,9,33
EI-REG00487,EI,Ryanair DAC (Ireland),M73-82,737-8200,62327,15,2025-03-15,2026-08-27,17736.5,7698,OPO,9,33
9H-REG00498,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44817,15,2025-02-26,2026-07-17,25810.6,14324,STN,11,33
9H-REG00542,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44779,15,2025-07-04,2026-07-26,27697.4,15925,STN,6,33
EI-REG00580,EI,Ryanair DAC (Ireland),B737-8,737-800,44858,15,2024-12-27,2026-08-17,23943.0,11281,LIS,8,33
SP-REG00601,SP,Buzz (Poland),B737-8,737-800,44749,15,2025-01-23,2026-07-28,29974.1,17031,KRK,9,33
EI-REG00016,EI,Ryanair DAC (Ireland),M73-82,737-8200,67096,14,2025-02-03,2026-08-16,10759.9,5068,STN,8,33
EI-REG00072,EI,Ryanair DAC (Ireland),M73-82,737-8200,62374,14,2025-01-31,2026-08-01,8411.3,4094,AGP,11,25
SP-REG00089,SP,Buzz (Poland),M73-82,737-8200,62305,14,2025-02-03,2026-08-05,17429.0,8656,KRK,5,33
EI-REG00103,EI,Ryanair DAC (Ireland),M73-82,737-8200,62370,14,2025-01-15,2026-03-30,7597.9,3545,BGY,11,33
9H-REG00159,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44788,14,2025-03-03,2026-09-07,27592.2,16985,BER,10,33
EI-REG00175,EI,Ryanair DAC (Ireland),B737-8,737-800,40298,14,2025-02-07,2026-09-12,45974.9,22408,FAO,11,25
EI-REG00195,EI,Ryanair DAC (Ireland),B737-8,737-800,37513,14,2025-01-01,2026-08-24,55109.4,31289,BCN,9,23
9H-REG00228,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44698,14,2025-01-01,2026-08-31,35614.3,20681,TLS,10,25
EI-REG00233,EI,Ryanair DAC (Ireland),B737-8,737-800,36078,14,2025-01-05,2026-09-10,59337.3,34390,MRS,9,23
9H-REG00245,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44750,14,2025-01-08,2026-07-04,29147.3,17715,MAD,11,33
9H-REG00272,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44814,14,2025-02-01,2026-08-30,25838.4,14727,STN,10,33
EI-REG00278,EI,Ryanair DAC (Ireland),B737-8,737-800,34982,14,2025-07-27,2026-08-31,45562.3,23396,MXP,11,25
EI-REG00309,EI,Ryanair DAC (Ireland),M73-82,737-8200,65875,14,2025-03-23,2026-06-23,15630.7,7296,STN,6,25
EI-REG00319,EI,Ryanair DAC (Ireland),B737-8,737-800,33606,14,2020-12-14,2026-08-24,61910.0,36788,CRL,11,25
9H-REG00320,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44767,14,2025-01-25,2026-07-26,27654.5,17042,DUB,8,33
9H-REG00337,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62325,14,2025-03-29,2026-09-10,17827.4,9562,SNN,9,33
EI-REG00338,EI,Ryanair DAC (Ireland),B737-8,737-800,33586,14,2025-02-16,2026-06-21,63769.6,37789,DUB,11,25
G-REG00379,G,Ryanair UK (UK),B737-8,737-800,38508,14,2025-04-18,2026-03-11,52942.0,26131,STN,4,25
EI-REG00435,EI,Ryanair DAC (Ireland),M73-82,737-8200,62335,14,2025-02-02,2026-09-11,17939.0,8294,LIS,9,33
EI-REG00452,EI,Ryanair DAC (Ireland),M73-82,737-8200,62309,14,2025-01-16,2026-06-13,16426.7,7628,MAN,7,25
9H-REG00467,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44784,14,2025-02-04,2026-08-24,27790.2,17292,RAK,12,33
9H-REG00474,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44827,14,2025-03-09,2026-08-30,25822.0,14234,STN,12,33
EI-REG00499,EI,Ryanair DAC (Ireland),M73-82,737-8200,67092,14,2025-01-26,2026-08-29,10586.2,4838,PMO,8,33
SP-REG00532,SP,Buzz (Poland),M73-82,737-8200,62314,14,2025-01-30,2026-08-14,18226.2,8969,BUD,7,33
9H-REG00003,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44790,13,2024-12-23,2026-09-03,28301.7,17820,STN,12,25
EI-REG00009,EI,Ryanair DAC (Ireland),M73-82,737-8200,67135,13,2025-02-01,2026-07-26,13977.7,6282,DUB,9,33
9H-REG00010,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44789,13,2025-01-19,2026-05-16,26117.0,16568,STN,9,33
9H-REG00022,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44708,13,2025-03-03,2026-09-07,33013.2,19229,STN,10,25
SP-REG00040,SP,Buzz (Poland),B737-8,737-800,44777,13,2025-02-05,2026-08-20,28377.7,16310,PRG,7,25
EI-REG00043,EI,Ryanair DAC (Ireland),M73-82,737-8200,67079,13,2025-01-14,2026-09-11,13227.2,6381,TFS,8,25
9H-REG00046,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,67102,13,2024-12-17,2026-05-08,8093.8,4011,NUE,8,33
EI-REG00050,EI,Ryanair DAC (Ireland),M73-82,737-8200,62371,13,2025-06-08,2026-08-23,8854.4,4205,BLQ,9,33
SP-REG00087,SP,Buzz (Poland),B737-8,737-800,44810,13,2025-02-15,2026-08-27,27366.6,14436,STN,10,33
SP-REG00098,SP,Buzz (Poland),B737-8,737-800,33572,13,2025-05-23,2026-05-16,65578.0,39958,MAN,6,72
EI-REG00112,EI,Ryanair DAC (Ireland),B737-8,737-800,35027,13,2025-02-06,2026-08-29,50404.2,27512,CIA,11,33
9H-REG00126,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44707,13,2025-01-28,2026-06-13,33501.9,19318,STN,9,25
EI-REG00131,EI,Ryanair DAC (Ireland),M73-82,737-8200,67091,13,2025-07-01,2026-09-05,11031.1,5234,MAN,10,33
SP-REG00176,SP,Buzz (Poland),M73-82,737-8200,62377,13,2025-02-09,2026-09-05,8198.1,3898,KRK,6,25
9H-REG00223,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,36569,13,2025-02-24,2026-09-05,57132.6,33528,MAD,8,25
SP-REG00258,SP,Buzz (Poland),B737-8,737-800,44686,13,2025-02-14,2026-08-27,39481.2,18203,KRK,12,25
SP-REG00265,SP,Buzz (Poland),B737-8,737-800,33590,13,2025-02-21,2026-06-24,64373.6,37378,KRK,7,25
EI-REG00271,EI,Ryanair DAC (Ireland),B737-8,737-800,35039,13,2025-03-12,2026-09-04,47234.2,24192,FAO,9,25
EI-REG00301,EI,Ryanair DAC (Ireland),M73-82,737-8200,62373,13,2025-04-28,2026-09-09,9695.7,4573,AGP,7,33
EI-REG00312,EI,Ryanair DAC (Ireland),M73-82,737-8200,62368,13,2025-01-04,2026-06-20,9041.2,4175,MAN,8,25
EI-REG00331,EI,Ryanair DAC (Ireland),M73-82,737-8200,62316,13,2025-02-22,2026-06-07,17659.4,8277,ALC,10,25
9H-REG00347,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65084,13,2025-03-06,2026-09-07,18164.2,9607,ALC,11,25
EI-REG00352,EI,Ryanair DAC (Ireland),B737-8,737-800,40322,13,2025-08-03,2026-07-04,43322.2,20854,STN,9,25
SP-REG00374,SP,Buzz (Poland),B737-8,737-800,44704,13,2025-03-04,2026-08-20,34629.6,18660,KTW,9,25
9H-REG00378,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,67098,13,2025-01-03,2026-08-12,9509.3,4906,VIE,8,33
SP-REG00382,SP,Buzz (Poland),B737-8,737-800,44774,13,2025-01-23,2026-07-10,28775.1,16512,STN,10,33
EI-REG00393,EI,Ryanair DAC (Ireland),B737-8,737-800,35025,13,2025-01-01,2026-08-19,52396.4,27676,VLC,12,25
EI-REG00409,EI,Ryanair DAC (Ireland),B737-8,737-800,35004,13,2025-04-03,2026-08-24,55832.2,30260,DUB,10,25
SP-REG00416,SP,Buzz (Poland),B737-8,737-800,35002,13,2025-01-08,2026-09-05,55316.5,30566,BUD,7,25
EI-REG00418,EI,Ryanair DAC (Ireland),B737-8,737-800,40304,13,2025-01-16,2026-05-28,47267.1,24068,DUB,11,25
EI-REG00422,EI,Ryanair DAC (Ireland),B737-8,737-800,33569,13,2025-02-03,2026-09-01,67759.3,41748,BGY,8,25
EI-REG00431,EI,Ryanair DAC (Ireland),B737-8,737-800,36080,13,2025-01-22,2026-08-19,57555.7,33686,BCN,13,25
EI-REG00446,EI,Ryanair DAC (Ireland),M73-82,737-8200,67114,13,2025-05-28,2026-07-01,7433.9,3541,BHX,10,25
SP-REG00449,SP,Buzz (Poland),B737-8,737-800,44695,13,2025-01-08,2026-09-04,35823.5,19051,KRK,8,25
SP-REG00451,SP,Buzz (Poland),B737-8,737-800,33588,13,2025-03-28,2026-08-13,64269.8,38275,KTW,11,25
EI-REG00458,EI,Ryanair DAC (Ireland),B737-8,737-800,33627,13,2025-02-18,2026-08-31,58917.9,34556,CIA,8,25
EI-REG00466,EI,Ryanair DAC (Ireland),M73-82,737-8200,67111,13,2025-01-05,2026-09-04,10092.4,4880,BER,8,25
9H-REG00485,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62363,13,2025-02-15,2026-06-02,10692.9,5375,MRS,13,25
9H-REG00489,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44748,13,2025-01-08,2026-08-18,29189.9,17999,FKB,12,33
9H-REG00491,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44821,13,2024-12-24,2026-08-23,25917.1,14628,STN,10,33
EI-REG00525,EI,Ryanair DAC (Ireland),B737-8,737-800,38501,13,2025-02-14,2026-07-09,45469.9,22551,FAO,11,25
EI-REG00583,EI,Ryanair DAC (Ireland),B737-8,737-800,40296,13,2021-09-27,2026-08-06,45290.9,22247,VLC,12,25
EI-REG00033,EI,Ryanair DAC (Ireland),B737-8,737-800,38493,12,2025-04-06,2026-06-05,52082.3,27446,FMM,9,25
EI-REG00034,EI,Ryanair DAC (Ireland),B737-8,737-800,33625,12,2024-10-27,2026-08-15,58072.8,33959,MAD,9,25
EI-REG00054,EI,Ryanair DAC (Ireland),M73-82,737-8200,62357,12,2025-01-30,2026-09-06,12524.4,5798,ALC,6,25
EI-REG00067,EI,Ryanair DAC (Ireland),B737-8,737-800,34975,12,2025-03-16,2026-08-03,53172.6,26413,STN,9,25
EI-REG00090,EI,Ryanair DAC (Ireland),M73-82,737-8200,62367,12,2025-05-15,2026-09-06,10640.9,4886,AGP,10,33
9H-REG00099,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62364,12,2025-01-11,2026-09-04,10773.4,5408,BGY,10,33
9H-REG00133,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62337,12,2025-02-22,2026-09-10,16877.6,9143,ALC,10,33
9H-REG00158,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,67101,12,2025-04-10,2026-08-23,10764.0,5248,BRS,9,33
EI-REG00164,EI,Ryanair DAC (Ireland),B737-8,737-800,36079,12,2025-02-09,2026-09-12,58214.1,33431,AGP,7,25
EI-REG00169,EI,Ryanair DAC (Ireland),B737-8,737-800,33817,12,2025-02-16,2026-07-28,66582.1,40876,DUB,10,25
SP-REG00173,SP,Buzz (Poland),B737-8,737-800,44797,12,2025-01-17,2026-06-23,29859.5,13063,OPO,8,33
EI-REG00179,EI,Ryanair DAC (Ireland),M73-82,737-8200,62317,12,2025-04-08,2026-08-28,15161.4,7312,DUB,9,33
EI-REG00180,EI,Ryanair DAC (Ireland),B737-8,737-800,37523,12,2025-06-22,2026-07-24,53866.8,31059,CHO,10,25
G-REG00204,G,Ryanair UK (UK),B737-8,737-800,33587,12,2010-06-19,2026-02-20,63568.8,38034,STN,4,25
9H-REG00205,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44808,12,2025-01-09,2026-08-16,26824.6,14682,DUB,10,33
EI-REG00226,EI,Ryanair DAC (Ireland),B737-8,737-800,36568,12,2025-02-01,2026-09-13,57514.0,33886,AGP,11,25
SP-REG00229,SP,Buzz (Poland),B737-8,737-800,44791,12,2025-03-28,2026-09-07,29390.0,15453,PRG,8,33
EI-REG00234,EI,Ryanair DAC (Ireland),B737-8,737-800,33609,12,2025-01-06,2026-08-18,61516.4,35716,DUB,6,23
9H-REG00235,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44697,12,2025-03-29,2026-07-10,34321.0,19823,STN,8,25
EI-REG00238,EI,Ryanair DAC (Ireland),B737-8,737-800,44854,12,2025-01-17,2026-08-16,24947.5,11499,LIS,9,33
EI-REG00282,EI,Ryanair DAC (Ireland),B737-8,737-800,38498,12,2025-01-25,2026-06-23,52516.8,27031,ARN,10,25
EI-REG00304,EI,Ryanair DAC (Ireland),M73-82,737-8200,62366,12,2024-12-22,2026-08-30,10621.2,4940,SNN,11,33
EI-REG00334,EI,Ryanair DAC (Ireland),B737-8,737-800,40306,12,2025-01-15,2026-07-26,47599.2,24857,DUB,10,25
9H-REG00345,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44759,12,2025-01-24,2026-08-23,29237.1,17689,STN,9,33
EI-REG00346,EI,Ryanair DAC (Ireland),B737-8,737-800,33610,12,2025-03-06,2026-08-31,61701.2,36196,DUB,10,25
9H-REG00375,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62300,12,2025-04-14,2026-08-24,17365.2,9239,DUB,7,25
EI-REG00380,EI,Ryanair DAC (Ireland),M73-82,737-8200,65890,12,2025-02-17,2026-09-06,17071.3,8271,DUB,9,33
EI-REG00420,EI,Ryanair DAC (Ireland),B737-8,737-800,40294,12,2025-02-14,2026-06-24,44690.5,20979,DUB,8,25
9H-REG00436,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,37516,12,2025-03-28,2026-08-23,54617.5,30953,CPH,9,33
EI-REG00454,EI,Ryanair DAC (Ireland),M73-82,737-8200,62346,12,2025-01-24,2026-05-10,12994.9,6022,ALC,11,33
EI-REG00464,EI,Ryanair DAC (Ireland),M73-82,737-8200,62348,12,2025-01-27,2026-07-24,13001.1,6106,AGP,9,33
9H-REG00472,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33823,12,2025-02-15,2026-04-26,63241.7,38340,STN,7,25
EI-REG00483,EI,Ryanair DAC (Ireland),M73-82,737-8200,62383,12,2025-01-03,2026-08-04,6998.7,2987,STN,6,25
9H-REG00484,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44771,12,2025-01-26,2026-07-10,27621.9,17091,PSA,9,33
EI-REG00500,EI,Ryanair DAC (Ireland),M73-82,737-8200,62310,12,2025-01-20,2026-05-25,16350.7,7552,STN,9,25
SP-REG00501,SP,Buzz (Poland),B737-8,737-800,38507,12,2025-02-06,2026-08-10,52591.8,27606,STN,8,25
EI-REG00516,EI,Ryanair DAC (Ireland),B737-8,737-800,40314,12,2025-03-22,2026-08-27,45689.9,20957,STN,7,25
9H-REG00520,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44710,12,2025-01-20,2026-08-31,33218.8,19198,BGY,7,25
EI-REG00521,EI,Ryanair DAC (Ireland),M73-82,737-8200,67103,12,2025-04-04,2026-06-13,7917.9,3935,ALC,7,33
EI-REG00529,EI,Ryanair DAC (Ireland),M73-82,737-8200,67077,12,2025-04-11,2026-09-03,13123.6,6100,DUB,8,33
EI-REG00579,EI,Ryanair DAC (Ireland),M73-82,737-8200,67133,12,2025-02-13,2026-07-14,12942.3,6173,STN,10,33
SP-REG00602,SP,Buzz (Poland),B737-8,737-800,44702,12,2025-06-02,2026-06-14,34517.2,18520,DBV,10,25
EI-REG00002,EI,Ryanair DAC (Ireland),B737-8,737-800,33575,11,2025-03-12,2026-07-21,67786.4,41376,DUB,8,23
G-REG00014,G,Ryanair UK (UK),B737-8,737-800,37526,11,2025-04-21,2026-03-01,55321.1,30870,STN,5,23
EI-REG00020,EI,Ryanair DAC (Ireland),B737-8,737-800,35026,11,2022-02-28,2026-09-05,52757.8,27531,PSR,9,25
EI-REG00106,EI,Ryanair DAC (Ireland),M73-82,737-8200,67078,11,2025-01-10,2026-04-01,11230.8,5254,MAN,8,38
SP-REG00122,SP,Buzz (Poland),B737-8,737-800,44796,11,2025-01-04,2026-07-17,30060.2,13281,POZ,6,33
EI-REG00129,EI,Ryanair DAC (Ireland),B737-8,737-800,33564,11,2025-02-01,2026-07-20,67846.0,41804,STN,9,33
EI-REG00139,EI,Ryanair DAC (Ireland),B737-8,737-800,40286,11,2025-02-19,2026-08-24,45039.4,22512,ALC,9,25
9H-REG00162,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33582,11,2025-02-21,2026-08-08,63980.2,38965,CRL,8,23
EI-REG00165,EI,Ryanair DAC (Ireland),B737-8,737-800,34994,11,2025-01-02,2026-09-12,46810.8,22633,DUB,8,25
EI-REG00170,EI,Ryanair DAC (Ireland),M73-82,737-8200,62351,11,2025-05-14,2026-08-25,13672.4,6103,DUB,7,33
EI-REG00183,EI,Ryanair DAC (Ireland),B737-8,737-800,38513,11,2025-03-12,2026-05-30,51251.7,26978,TLS,7,25
EI-REG00207,EI,Ryanair DAC (Ireland),M73-82,737-8200,67071,11,2025-07-02,2026-08-12,13342.5,6279,BUD,8,33
EI-REG00232,EI,Ryanair DAC (Ireland),B737-8,737-800,37530,11,2025-06-11,2026-07-07,54770.4,29692,CRL,8,25
9H-REG00240,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44795,11,2025-01-10,2026-08-17,27510.8,16713,STN,10,26
EI-REG00255,EI,Ryanair DAC (Ireland),B737-8,737-800,33615,11,2025-02-14,2026-08-16,58571.3,33680,BGY,8,23
EI-REG00268,EI,Ryanair DAC (Ireland),M73-82,737-8200,62349,11,2025-04-29,2026-09-05,14119.0,6585,DUB,10,25
EI-REG00269,EI,Ryanair DAC (Ireland),B737-8,737-800,34983,11,2025-02-19,2026-09-02,50006.4,26719,DUB,10,25
EI-REG00275,EI,Ryanair DAC (Ireland),B737-8,737-800,40290,11,2025-01-07,2026-08-17,45295.4,22962,DUB,8,25
EI-REG00287,EI,Ryanair DAC (Ireland),B737-8,737-800,35008,11,2025-06-12,2026-07-18,54849.3,29064,BHX,8,23
SP-REG00292,SP,Buzz (Poland),B737-8,737-800,44787,11,2025-04-13,2026-06-21,27742.4,15675,WMI,9,26
EI-REG00326,EI,Ryanair DAC (Ireland),B737-8,737-800,35014,11,2025-01-03,2026-07-01,54179.5,28849,DUB,8,25
EI-REG00353,EI,Ryanair DAC (Ireland),B737-8,737-800,33631,11,2025-04-23,2026-08-16,57479.2,33222,MXP,10,25
EI-REG00356,EI,Ryanair DAC (Ireland),M73-82,737-8200,65080,11,2025-06-25,2026-08-27,18233.2,8373,DUB,7,33
9H-REG00364,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62347,11,2025-01-21,2026-09-11,14068.9,6967,BGY,7,25
EI-REG00376,EI,Ryanair DAC (Ireland),M73-82,737-8200,67097,11,2025-05-08,2026-08-26,8791.9,4166,PSA,10,33
EI-REG00383,EI,Ryanair DAC (Ireland),B737-8,737-800,37529,11,2025-01-13,2026-06-26,54077.4,31284,RAK,10,25
SP-REG00389,SP,Buzz (Poland),B737-8,737-800,44778,11,2025-03-31,2026-08-16,28335.4,15839,WMI,7,33
9H-REG00390,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44699,11,2025-02-10,2026-07-24,34882.2,19837,BCN,8,25
EI-REG00400,EI,Ryanair DAC (Ireland),B737-8,737-800,35549,11,2025-03-12,2026-05-06,59514.5,35711,STN,8,23
SP-REG00404,SP,Buzz (Poland),B737-8,737-800,61578,11,2025-04-03,2026-04-14,33189.4,17972,KRK,6,23
EI-REG00407,EI,Ryanair DAC (Ireland),B737-8,737-800,33578,11,2025-04-25,2026-07-03,64809.0,38413,BCN,8,25
SP-REG00414,SP,Buzz (Poland),M73-82,737-8200,62315,11,2025-04-04,2026-06-28,18005.5,8822,KRK,6,33
SP-REG00415,SP,Buzz (Poland),B737-8,737-800,40307,11,2025-03-22,2026-09-11,48821.6,24227,BUD,8,38
EI-REG00433,EI,Ryanair DAC (Ireland),B737-8,737-800,33815,11,2025-05-20,2026-09-06,67597.7,41758,STN,10,25
EI-REG00437,EI,Ryanair DAC (Ireland),B737-8,737-800,33811,11,2025-05-16,2026-08-12,66939.9,40539,NRN,9,25
9H-REG00463,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33628,11,2025-04-14,2026-09-07,57464.9,33138,CTA,8,25
9H-REG00465,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65884,11,2025-03-30,2026-08-13,18038.0,9630,BER,10,33
EI-REG00481,EI,Ryanair DAC (Ireland),B737-8,737-800,36567,11,2025-02-28,2026-08-26,56999.3,33295,EMA,11,25
9H-REG00490,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44822,11,2024-10-25,2026-08-26,27030.0,14275,OTP,8,33
EI-REG00493,EI,Ryanair DAC (Ireland),M73-82,737-8200,67088,11,2025-02-21,2026-08-26,12913.7,5759,CGN,8,33
9H-REG00519,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62342,11,2025-05-28,2026-09-06,13688.8,7098,BER,6,33
SP-REG00526,SP,Buzz (Poland),M73-82,737-8200,62313,11,2025-05-02,2026-08-31,18728.8,9380,KRK,7,33
EI-REG00527,EI,Ryanair DAC (Ireland),B737-8,737-800,35021,11,2025-03-06,2026-08-15,53556.0,27777,STN,10,25
EI-REG00541,EI,Ryanair DAC (Ireland),M73-82,737-8200,67073,11,2025-05-23,2026-08-22,13425.1,6185,DUB,7,25
EI-REG00551,EI,Ryanair DAC (Ireland),B737-8,737-800,33584,11,2025-01-25,2026-09-13,64647.0,39197,MAD,10,25
SP-REG00555,SP,Buzz (Poland),B737-8,737-800,40291,11,2025-03-07,2026-09-13,44518.4,22877,KRK,7,25
EI-REG00591,EI,Ryanair DAC (Ireland),B737-8,737-800,35029,11,2025-01-09,2026-09-11,52562.3,27832,BGY,9,26
EI-REG00615,EI,Ryanair DAC (Ireland),B737-8,737-800,35041,11,2025-03-09,2026-05-01,45966.8,23757,GRO,7,33
9H-REG00007,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,67086,10,2025-01-17,2025-12-21,9199.5,4944,PMI,9,33
SP-REG00013,SP,Buzz (Poland),B737-8,737-800,34987,10,2025-03-05,2026-08-05,47379.3,24351,WRO,8,25
EI-REG00024,EI,Ryanair DAC (Ireland),B737-8,737-800,40299,10,2025-02-11,2026-05-01,43861.8,22781,NAP,10,25
EI-REG00027,EI,Ryanair DAC (Ireland),B737-8,737-800,35001,10,2025-03-12,2026-08-08,56844.0,29562,DUB,9,25
EI-REG00036,EI,Ryanair DAC (Ireland),M73-82,737-8200,67115,10,2025-02-22,2026-08-31,7637.4,3600,VIE,8,33
EI-REG00038,EI,Ryanair DAC (Ireland),M73-82,737-8200,62380,10,2025-03-25,2026-06-18,6721.8,2973,KRK,9,25
9H-REG00059,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,37515,10,2025-01-05,2026-02-08,53965.9,31128,MRS,7,25
SP-REG00074,SP,Buzz (Poland),M73-82,737-8200,62388,10,2025-04-08,2026-09-10,5426.7,2607,KRK,6,25
EI-REG00079,EI,Ryanair DAC (Ireland),B737-8,737-800,37521,10,2025-05-12,2026-07-12,53963.3,31307,STN,9,25
9H-REG00096,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44780,10,2025-03-02,2026-06-13,27248.5,15836,FAO,7,25
EI-REG00110,EI,Ryanair DAC (Ireland),B737-8,737-800,40302,10,2025-02-17,2026-08-14,48805.0,25114,BGY,9,33
EI-REG00113,EI,Ryanair DAC (Ireland),B737-8,737-800,40297,10,2025-03-29,2026-08-04,45806.4,21977,MAN,9,23
EI-REG00114,EI,Ryanair DAC (Ireland),B737-8,737-800,38505,10,2025-03-13,2026-05-07,51849.8,26758,FCO,9,23
EI-REG00127,EI,Ryanair DAC (Ireland),B737-8,737-800,33574,10,2025-01-24,2026-05-26,66747.6,39544,STN,7,23
EI-REG00136,EI,Ryanair DAC (Ireland),B737-8,737-800,34978,10,2025-02-03,2026-05-22,50914.6,27157,BGY,6,33
SP-REG00155,SP,Buzz (Poland),B737-8,737-800,40305,10,2025-05-09,2026-06-02,47347.1,24643,DBV,5,25
EI-REG00198,EI,Ryanair DAC (Ireland),B737-8,737-800,33807,10,2025-05-05,2026-09-11,68330.6,41245,CRL,9,25
