wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
190553365,33-00,B737-8,22 ABC,9651-35-0002,22346,9651-35-0002,24972,3949640,ARC155246
190738628,36-00,B737-8,#1,107484-7,18522,107484-7,16081,3944050,354098
190012547,38-32,B737-8,LAV E,14330-230,EKW01,14330-230,35523,3867312,1112285
191384489,33-00,B737-8,7ABC,9651-35-0002,32928,9651-35-0002,33031,4173849,ARC174339
190503416,33-21,M73-82,28DEF,9651-35-0005,49043,9651-35-0005,50447,3975335,157393
190413010,33-21,M73-82,RH,9651-35-0002,61169,9651-35-0002,57491,3976985,20113357
53864195,25-00,B737-8,#4,8201-11-0000-01,15-11-36870,8201-11-0000-01,09-05-26943,4037498,PAV12597
190582463,33-00,B737-8,PAX CAB,9651-35-0005,17944,9651-35-0005,48762,4197396,ARC176003
55709473,26-16,B737-8,AFT,473597-5,68257,473597-5,37153,3942559,12765292
190447179,25-31,M73-82,GALLEY G4,8201-11-0000-01,15-03-35921,8201-11-0000,06-12-22983,4059504,KAV0126025
55378920,25-00,M73-82,GALLEY G4,8201-11-0000-01,21-11-0985,8201-11-0000-01,10-07-29015,3830707,KAV0225076
190214242,33-00,B737-8,CABIN,9651-35-0002,53934,9651-35-0002,53500,3916385,151508
55551413,33-20,B737-8,18ABC,9651-35-0002,32554,9651-35-0002,17559,4116704,ARC169982
