wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
191533758,33-21,B737-8,30ABC,9651-35-0005,33679,9651-35-0005,18243,4128820,170866
55228141,38-00,B737-8,AFT,SC4L500301-5,826530,SC4L500301-5,172211395-003,3770186,E-5637679
190549051,33-20,B737-8,20DEF,9651-35-0002,40013,9651-35-0002,24893,4134275,ARC171335
190494173,25-32,M73-82,GALLEY 4,8201-11-0000-01,21-06-0257,8201-11-0000-01,17-07-39065,3851212,PAV10367
55225368,25-00,B737-8,AFT,72184025,4260,72184025,4386,3979792,WAV889
41426978,38-32,B737-8,AFT LH,14330-230,10467,14330-230,11037,3776722,0001091675
191319389,33-00,B737-8,2 ABC,9651-35-0005,23238,9651-35-0005,61232,4110337,20188964
55442851,33-21,M73-82,33 R/H,9651-35-0005,31973,9651-35-0005,31748,3802747,ARC140447
55064330,23-51,B737-8,CAPT,5145-1-82,15554,5145-1-82,9275,3773318,PAV9137
191450065,33-21,B737-8,9D,9651-35-0003,7964,9651-35-0003,9039,4121718,ARC170564
190563893,33-21,B737-8,CAB,9651-35-0002,32462,9651-35-0002,51519,3990340,159041
190912813,33-42,B737-8,RH,45-0351-4,4212,45-0351-4,4324,4187417,PAV14561
55444818,25-00,M73-82,GALLEY 4,62197-301-001,15-11-0138,62197-301-001,16-02-0205,3770835,KAV1224029
104048204,23-00,B737-8,FL DK,5145-1-82,12552,5145-1-82,13876,3909689,PAV10915
104048204,23-00,B737-8,FL DK,G7404-124,39330,G7404-124,8629,3851405,E342925
104048204,23-00,B737-8,FL DK,G7404-124,28753,G7404-124,21657,3839805,E342550
104048204,23-00,B737-8,FL DK,5145-1-82,10563,5145-1-88,25563,3901383,PAV10836
190539554,23-42,B737-8,FWD CAB,285W0024-1B,F27775,285W0024-1M,F40015,3897297,149198
190715286,33-21,B737-8,27DEF,9651-35-0005,51687,9651-35-0005,33029,4078811,7382
191410769,25-31,B737-8,AFT,72184025,4402,72184025,4065,4184000,WAV1496
190094010,33-42,B737-8,RH,45-0351-4,6123,45-0351-4,4805,3880016,PAV10667
190283253,25-00,M73-82,AFT RH,62197-301-001,23-08-0182,62197-301-001,21-02-0154,3868561,SAV581
191506746,33-21,B737-8,19ABC,9651-35-0002,18484,9651-35-0002,67166,4203212,20261729
190307855,23-00,M73-82,FWD CAB,285W0024-1B,F54297,285W0024-1B,F62614,3898103,05443
190535594,34-00,B737-8,F/O,0851HT1,404733,0851HT2,465370,3770913,407457977
55332540,38-11,M73-82,LAV D,SC4L500301-5,171615637-007,SC4L500301-4,1606214,4060371,E-6074532
190006466,25-31,B737-8,FWDGALLY,8201-11-0000-01,16-10-38125,8201-11-0000-01,09-03-26636,3716294,1208598
55493273,33-21,M73-82,19ABC,9651-35-0002,71260,9651-35-0002,64310,3764017,20082079
55493273,33-21,M73-82,21DEF,9651-35-0002,71268,9651-35-0002,64297,3764066,2082
190736180,33-21,B737-8,29ABC,9651-35-0005,48129,9651-35-0005,33768,3996071,ARC159861
190339339,33-21,M73-82,21DEF,9651-35-0002,71136,9651-35-0002,52296,3893197,149267
191216140,38-00,M73-82,LAV E,SC4L500301-5,10906638,SC4L500301-5,174515351-001,4039341,6051414
190414860,33-21,M73-82,19DEF,9651-35-0002,53912,9651-35-0002,51241,4148449,172191
190720070,33-00,B737-8,RH,72605363-1,2238,72605363-1,1745,3964384,4373215
190013916,25-00,B737-8,AFTGALLY,8201-11-0000-01,17-07-39056,8201-11-0000-01,10-02-28236,4002962,KAV1125002
191011925,25-00,B737-8,AFT,8201-11-0000,03-09-19336,8201-11-0000-01,16-01-37100,4183380,PAV14504
190443819,25-00,M73-82,FWD,62197-301-001,17-07-0394,62197-301-001,16-08-0247,4082405,WAV1247
190238512,23-12,B737-8,CAPT,G7404-124,5119,G7404-124,20265,3934763,E344140
190238512,23-12,B737-8,FL DK,5145-1-82,11824,5145-1-82,24180,3950117,PAV11393
190238512,23-12,B737-8,E/E,064-50000-0110,RTA44D-10269,064-50000-0110,RTA44D-13090,3814641,352389489
55669804,33-42,B737-8,LH,72605363-1,4273,72605363-1,2712,3922260,RA377
55594005,33-00,B737-8,30 LH,9651-35-0005,49150,9651-35-0005,30324,3783351,138352
190033139,25-31,B737-8,AFTGALLY,72184025,4108,72184025,4343,4141656,KAV0526018
55538370,33-21,B737-8,25 RH,9651-35-0004,18734,9651-35-0004,23112,3807279,20087198
190506681,25-31,B737-8,AFTGALLY,62197-301-001,23-06-0214,62197-301-001,14-07-6911,3977155,WAV874
55379452,33-00,M73-82,30DEF,9651-35-0005,47630,9651-35-0005,37112,4110291,ARC169583
55453909,33-21,M73-82,CAB,9651-35-0005,49600,9651-35-0005,49195,4053608,ARC165531
190287227,33-21,M73-82,31DEF,9651-35-0005,21693,9651-35-0005,49044,3966616,ARC156737
190676421,33-42,B737-8,LH,72605363-1,4864,72605363-1,5507,3877546,4825
55302332,33-21,M73-82,CAB,9651-35-0005,23963,9651-35-0005,21104,4005130,ARC160799
55419120,33-21,M73-82,5 ABC,9651-35-0002,52390,9651-35-0002,52098,4121858,170655
190546954,25-31,B737-8,AFTGALLY,62197-301-001,18-01-1103,72184025,4373,3925359,PAV11099
42204437,25-00,M73-82,AFT,62197-301-001,23-03-0696,62197-301-001,17-12-0422,4094007,SAV846
55688317,38-00,B737-8,LAV A,14330-230,36539,14330-230,ZSK681,3979136,1165421
35042029,23-42,B737-8,FWD,285W0024-1B,F40174,285W0024-1M,F54546,3802439,25.105
41455496,38-00,B737-8,CABIN,14330-230,37388,14330-230,ZSK616,3819539,0001106460
55213218,23-00,B737-8,FL DK,5145-1-82,11962,5145-1-88,29425,3964642,PAV11631
55278658,26-00,M73-82,AFT,473597-5,SJD5576,473597-5,27428A,3747607,60479
190626955,23-42,B737-8,FWD CAB,285W0024-1B,F36017,285W0024-1B,F24239,4037609,163889
41843881,33-22,M73-82,CABIN,9651-35-0005,58358,9651-35-0005,18082,4019513,ARC162136
55199743,26-00,B737-8,AFT,473597-5,47765,473597-5,SJF1338,3908385,408095
190592920,33-21,B737-8,24ABC,9651-35-0003,10244,9651-35-0003,11326,4096628,ARC168684
42212904,25-00,M73-82,AFT,8201-11-0000-01,21-04-0053,8201-11-0000-01,23-05-0268,3437846,S23/2614H-1
55446004,25-00,M73-82,G1,8201-11-0000-01,09-03-26646,8201-11-0000-01,23-04-0142,3429375,S23/2386H-1
190607569,33-21,B737-8,#25 RH,9651-35-0004,11667,9651-35-0004,7810,3867373,146568
191405696,33-21,B737-8,23ABC,9651-35-0003,18644,9651-35-0003,7189,4005128,ARC160526
190738932,33-21,B737-8,15DEF,9651-35-0005,18721,9651-35-0005,24721,3949629,ARC155031
41982676,33-21,B737-8,18ABC,9651-35-0002,16885,9651-35-0002,74422,3897732,04640200
55701091,26-16,B737-8,AFT,473597-5,SJA6998,473597-5,25340A,3935180,63604
107272013,36-00,B737-8,#1,107484-7,9852,107484-7,11382,4219371,354521271
55565437,25-00,B737-8,#3,62197-301-001,16-12-0317,62197-301-001,22-02-0450,3780309,1259668
190056858,38-00,B737-8,FWD,72184025,N12031140044846,L13471-12MRYAN,2059340,4089543,PAV13377
190834496,25-00,B737-8,FWD,8201-11-0000-01,16-12-38298,8201-11-0000-01,23-06-0144,3449690,S23/2790H-1
190581624,33-21,B737-8,8 RH,9651-35-0002,55042,9651-35-0002,18517,3990052,8701
191406544,33-42,B737-8,LH,72605363-1,5558,72605363-1,3028,4150417,356226413
55777755,25-00,B737-8,AFT GALLEY,8201-11-0000-01,21-06-0261,8201-11-0000,08-02-24825,3586648,1079312
190605922,33-20,B737-8,CAB,9651-35-0002,18717,9651-35-0002,67074,3907777,20103435
190342202,25-32,M73-82,GALLEY G4,62197-301-001,18-08-0135,62197-301-001,16-06-0216,4180231,KAV0526117
55717313,30-31,B737-8,CAPT,0851HT1,406404,0851HT2,461115,3680824,407055686
190593702,33-21,B737-8,4 DEF,9651-35-0002,40352,9651-35-0002,30139,3979044,ARC157799
190097268,23-00,B737-8,F/O,5145-1-82,16922,5145-1-82,11309,3948117,PAV11353
55478736,33-21,M73-82,CAB,,,9651-35-0002,56644,3890933,20101735
55478736,33-21,M73-82,CAB,9651-35-0002,56331,,,9545372,
42133617,23-00,M73-82,AFT CAB,285W0024-1B,F25919,285W0024-1B,D23720,4122165,170493
55371489,33-21,M73-82,CABIN,9651-35-0005,64071,9651-35-0005,51680,3986332,ARC158185
190614590,33-00,B737-8,LH,72605363-1,0781,72605363-1,5770,3887502,353384702
190433513,33-21,M73-82,33 ABC,9651-35-0005,31777,9651-35-0005,64020,4203177,20258428
55708965,25-00,B737-8,AFTGALLY,8201-11-0000-01,17-12-40036,8201-11-0000-01,23-08-0269,3688957,1181972
55347983,25-00,M73-82,G1,62197-301-001,16-12-0313,62197-301-001,15-03-7399,3797980,PAV9574
190360818,25-00,M73-82,AFTGALLY,62197-301-001,16-12-0305,62197-301-001,15-11-0122,3930269,KAV0825004
41936630,23-00,B737-8,AFT CAB,285W0024-1B,F24366,285W0024-1M,F56676,3951485,154977
190154943,36-00,B737-8,#2,107484-7,10250,107484-7,17628,4097845,100
190232710,23-00,B737-8,FL DK,5145-1-82,18339,5145-1-82,12754,3953206,PAV11442
55440038,38-00,M73-82,LAV A,SC4L500301-5,170447683-004,SC4L500301-5,172356339-004,3784274,E-5656956
190081110,23-13,B737-8,CAPT,5145-1-82,15960,5145-1-88,26697,3954129,PAV11448
55284119,33-21,M73-82,33 LH,9651-35-0005,56022,9651-35-0005,21350,3736467,ARC134377
55590999,25-00,B737-8,AFT,62197-301-001,21-08-0080,72184025,N10040443044688,3820416,1297086
107247198,36-00,B737-8,#1,3214552-5,10161,3214552-5,9441,4170631,26.355
107247198,36-00,B737-8,#1,3214446-4,8643,3214446-4,17314,4144985,356006783
107247198,36-00,B737-8,#1,107484-7,13328,107484-7,16682,4033340,5017274
191405697,33-21,B737-8,10DEF,9651-35-0004,7898,9651-35-0004,15677,3763488,137164
55551683,72-21,B737-8,#1,340-001-036-0,PC141374,340-001-036-0,PF497445,3954718,GEAMS1157152-1
55385516,25-32,M73-82,GALLEY 4,8201-11-0000-01,22-03-0164,8201-11-0000,06-01-21687,3819130,KAV0325014
105277989,36-11,B737-8,#2,107484-7,17056,107484-7,7559,4001307,354258595
190178179,23-51,B737-8,FL DK,5145-1-82,13568,5145-1-82,17227,3828159,PAV10087
55452550,25-00,M73-82,GALLEY G1,8201-11-0000-01,21-01-0298,8201-11-0000-01,21-02-0351,3824128,PAV9998
190276359,25-00,M73-82,GALLEY G4,8201-11-0000-01,21-11-0268,8201-11-0000,05-01-20785,3858915,PAV10431
191507278,33-00,B737-8,CABIN,9651-35-0003,21114,9651-35-0003,10383,4128913,170910
55408638,25-32,M73-82,GALLEY G4,62197-301-001,21-03-0019,62197-301-001,19-07-0272,3780469,KAV0125044
190535933,26-16,B737-8,AFT,473597-5,67697,473597-5,SJA0993,3935824,00012730947
107157066,72-00,,#1,340-001-036-0,DM128037,340-001-038-0,DM136827,4192219,R26060311000
190074267,33-00,B737-8,4ABC,9651-35-0002,52452,9651-35-0002,25635,4140566,ARC171450
190319688,38-10,M73-82,LAV A,SC4L500301-5,11162429,SC4L500301-5,173676003-005,3944582,E-5900493
191319982,23-00,B737-8,CAPT,5145-1-82,13850,5145-1-82,18244,4222950,PAV14959
190083776,34-00,B737-8,F/O,0851HT1,398937,0851HT2,471133,3894166,408042668
191307371,36-11,B737-8,#2,107484-7,16751,107484-7,19155,4236507,6832855
190634490,25-31,B737-8,FWDGALLY,62197-301-001,16-06-0221,62197-301-001,16-08-0254,4018784,SAV730
191385162,23-00,B737-8,AFT CAB,285W0024-1B,F25293,285W0024-1B,F36777,4157384,ARC173108
190640107,33-00,B737-8,19,9651-35-0002,26013,9651-35-0002,26890,3886829,148778
55259387,25-00,B737-8,AFT,8201-11-0000,08-05-25460,8201-11-0000-01,21-01-0290,3985669,KAV1025029
190516067,33-00,B737-8,31 DEF,9651-35-0005,18721,9651-35-0005,36844,4121729,ARC170361
55599439,25-00,B737-8,FWDGALLY,8201-11-0000,02-11-18325,8201-11-0000-01,19-06-0289,3880349,KAV0425046
191535786,38-13,B737-8,FWDGALLY,72184025,4245,72184025,4382,4058193,SAV788
55604341,33-00,B737-8,CABIN,9651-35-0002,40059,9651-35-0002,80238,3840198,72505
190623443,36-00,B737-8,#2,107484-7,11824,107484-7,19535,4036951,355158491
191233982,33-21,M73-82,9 DEF,9651-35-0003,9834,9651-35-0003,17788,4048970,20157497-1
20072287,25-00,B737-8,AFT,8201-11-0000,02-10-18290,8201-11-0000-01,09-05-26950,3782536,KAV0125021
41983306,25-35,B737-8,FWDGALLY,62197-301-001,23-04-0106,62197-301-001,16-02-0209,3817518,1295388
190571720,25-00,B737-8,FWD,62197-301-001,21-02-0090,72184025,4036,3830638,KAV0325011
190575437,33-00,B737-8,RH,72605363-1,2894,72605363-1,0646,4050237,355364440
190575437,33-00,B737-8,LWR FWD,72500415-2,6294,72500415-2,3142,3801571,352235140
190110468,23-00,B737-8,CAPT,5145-1-82,15711,5145-1-82,12857,4028469,PAV12498
191423836,33-20,B737-8,11DEF,9651-35-0004,6348,9651-35-0004,6786,4206373,ARC176855
190541433,30-00,B737-8,CAPT,0851HT1,451228,0851HT2,465141,3764823,407402319
190475988,33-00,M73-82,CAB,9651-35-0003,15364,9651-35-0003,5350,4037517,163666
190475988,33-00,M73-82,CAB,9651-35-0001,8551,9651-35-0001,10732,4217412,ARC178033
190436288,33-00,M73-82,CAB,9651-35-0002,57200,9651-35-0002,54989,4197353,ARC176237
190190025,33-00,B737-8,5ABC,9651-35-0002,22779,9651-35-0002,33168,4128900,171085
40959155,25-33,B737-8,AFT,8201-11-0000,08-08-25855,8201-11-0000-01,16-07-37783,3747679,1234934
191509359,33-00,B737-8,7DEF,9651-35-0002,33462,9651-35-0002,69459,4222633,47001539
190786926,25-00,B737-8,AFT,8201-11-0000-01,09-02-26573,8201-11-0000,07-01-23102,3882695,1351759
191490314,33-00,B737-8,27 L/H,9651-35-0005,51689,9651-35-0005,21618,4148438,172240
190614106,25-00,B737-8,CABIN,8201-11-0000-01,15-12-37025,8201-11-0000-01,22-03-0046,3841535,PAV10259
190722565,25-00,B737-8,AFTGALLY,62197-301-001,17-08-0396,62197-301-001,23-09-0229,3934661,PAV11171
191000529,26-00,B737-8,AFT,473597-5,56195,473597-5,52695,4213710,13969905
190117915,38-00,B737-8,LAV A,14330-230,11485,14330-230,25547,3913332,1140774
190111321,33-00,B737-8,RH,72605363-1,3592,72605363-1,3556,4030887,355081883
55511655,25-00,B737-8,FWDGALLY,62197-301-001,15-11-0140,62197-301-001,25-04-0269,4005350,PAV12210
190159852,25-00,B737-8,AFT RH,62197-301-001,16-02-0200,62197-301-001,16-02-0208,3793513,SAV476
55137187,25-00,B737-8,FWD,8201-11-0000,07-08-24183,8201-11-0000-01,21-08-0150,3822691,PAV9987
55636997,25-00,B737-8,#3,8201-11-0000-01,09-12-27995,8201-11-0000,08-07-25656,3726433,1218265
40869036,33-21,B737-8,4ABC,9651-35-0002,53465,9651-35-0002,52452,4101911,ARC169005
55682946,33-00,B737-8,7 DEF,9651-35-0002,53959,9651-35-0002,41269,4121843,170256
191449534,33-21,B737-8,ROW22LH,9651-35-0002,53603,9651-35-0002,66047,4117111,20193415
55583630,33-42,B737-8,RH,45-0351-4,1611,45-0351-4,4042,3829102,PAV10114
190383889,23-42,M73-82,FWD CAB,285W0024-1B,F62747,285W0024-23M,F59608,3916261,250000005361
41664512,26-16,B737-8,AFT,473597-5,SJA4786,473597-5,56611,3838340,R549883
190196308,25-00,B737-8,FWD,72184025,N10020043044629,72184025,N10020390044640,4090683,WAV1268
55378670,25-30,M73-82,FWD,62197-301-001,19-06-0036,62197-301-001,18-07-0596,3816622,CM41239
55564486,33-00,B737-8,CAB,9651-35-0005,16249,9651-35-0005,21344,3942207,ARC154088
55564486,33-00,B737-8,2 LH,9651-35-0005,51738,9651-35-0005,64871,3933122,20107368
55564486,33-00,B737-8,13DEF,9651-14-0005,7602,9651-14-0005,4677,3916320,151647
190160781,26-00,B737-8,AFT,473597-5,45549,473597-5,SJD0597,3908150,408095997
26121028,23-00,B737-8,FL DK,5145-1-82,17227,5145-1-82,17414,3794686,PAV9541
55472826,25-00,M73-82,FWD,62197-301-001,15-11-0132,62197-301-001,18-07-0605,3855848,WAV444
55718759,25-31,B737-8,FWDGALLY,8201-11-0000,04-10-20502,8201-11-0000,05-09-21504,3715106,1207770
190660522,38-11,B737-8,FWD,SC4L500301-5,10921930,AR9472-3W1D492,1411949,3945435,04765298
190464386,33-00,M73-82,RH,72605363-1,6441,72605363-1,5928,3965727,354320035
190293958,33-21,M73-82,5 DEF,9651-35-0002,31321,9651-35-0002,68733,3845086,4822
41750057,33-21,B737-8,4ABC,9651-35-0002,19209,9651-35-0002,53646,3793443,86907-1.000
55140551,25-31,B737-8,AFTGALLY,62197-301-001,16-10-0271,72184025,N10120158044757,3697153,1188948
35028576,25-00,B737-8,AFT,8201-11-0000,07-09-24215,8201-11-0000,03-12-19547,3254628,AV0778
190323082,25-00,M73-82,GALLEY G1,62197-301-001,23-03-0521,62197-301-001,18-01-0445,3946678,PAV11334
42140115,25-00,M73-82,AFT,62197-301-001,18-01-0431,62197-301-001,21-11-0696,3957837,PAV11518
191157645,25-00,M73-82,GALLEY G4,62197-301-001,17-06-0377,62197-301-001,19-07-0265,4082309,WAV1219
190649500,23-42,B737-8,FWD,285W0024-1B,F25355,285W0024-1M,F41139,3781874,138339
55574101,23-00,B737-8,AFT CAB,285W0024-1B,F23947,285W0024-1M,F52958,3813435,ARC141643
190095904,25-00,B737-8,AFT,8201-11-0000,04-11-20574,8201-11-0000,05-08-21366,3979144,KAV0925030
40848697,25-00,B737-8,FWDGALLY,8201-11-0000,07-10-24302,8201-11-0000,05-11-21453,3591107,1085711
190414946,33-20,M73-82,AFT CAB,9651-35-0003,17784,9651-35-0003,11506,4096631,ARC168665
55300660,27-00,M73-82,RH STAB,0851HT1,432055,0851HT2,472681,3932478,408207686
55418819,33-21,M73-82,16 ABC,9651-35-0005,49424,9651-35-0005,32042,4121720,ARC170258
55663107,26-16,B737-8,AFT,473597-5,SJB0805,473597-5,SJA6910,3995540,25.985
55443593,25-00,M73-82,GALLEY G4,62197-301-001,21-02-0087,62197-301-001,18-06-0101,4102429,WAV1300
106806064,36-00,B737-8,#2,63292146-1,507,63292146-1,7491,4136036,355811199
106806064,36-00,B737-8,#2,3214552-5,8416,3214552-6,19475,4143977,356176475
106806064,36-00,B737-8,#2,107484-7,10321,107484-7,17813,4154041,356290374
106806064,36-00,B737-8,#2,3214446-4,18566,3214446-4,12934,4142713,5914543
55674322,33-00,B737-8,8DEF,9651-35-0002,35314,9651-35-0002,22460,3784157,20085499
55603079,33-00,B737-8,LH,9651-35-0005,34312,9651-35-0005,25497,3708523,131947
35039733,33-00,B737-8,18 DEF,9651-35-0002,53249,9651-35-0002,34850,4001767,60330
55599776,33-42,B737-8,UPR,72500410-2,4202,72500410-2,11519,3920848,3798861
55599776,33-42,B737-8,LWR FWD,72500410-1,0351,72500410-1,1561,3949933,354194885
55599776,33-42,B737-8,LH,72605363-1,0625,72605363-1,4273,3966437,4364879
55401835,33-42,M73-82,RH,72605363-1,5495,72605363-1,2640,4017922,354927077
191126159,23-00,M73-82,AFT CAB,285W0024-1B,D22147,285W0024-23B,F64503,4186926,05341
190534556,23-51,B737-8,CAPT,5145-1-82,18467,5145-1-82,16450,3892617,30010487842
42169718,73-00,M73-82,#1,2085M31G03,PSDNE152,2085M31G03,PAT50J29,3835862,RE17544-1
42169718,73-00,M73-82,#1,2085M31G03,PAT13J71,2085M31G03,PSDMD327,3835860,RE17542-1
42169718,73-00,M73-82,#1,2085M31G03,PAT14C73,2085M31G03,PAT07F78,3835718,RF52833-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNF926,2085M31G03,PAT67E88,3835846,RF35395-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNF925,2085M31G03,PAT3A353,3835844,RE70239-1
42169718,73-00,M73-82,#1,2085M31G03,PAT46R40,2085M31G03,PAT3C135,3835810,RF25117-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNE252,2085M31G03,PAT1B041,3835835,RF31237-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNE266,2085M31G03,PAT71F01,3835843,RF42410-1
42169718,73-00,M73-82,#1,2085M31G03,PAT81A73,2085M31G03,PSDMD178,3835814,RF31306-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNF923,2085M31G03,PAT1C767,3835724,RF00005-1
42169718,73-00,M73-82,#1,2085M31G03,PAT06T56,2085M31G03,PSDMF424,3835714,RF56187-1
42169718,73-00,M73-82,#1,2085M31G03,PAT72J57,2085M31G03,PAT59F63,3835734,RD68496-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNF924,2085M31G03,PAT51J51,3835805,RF52842-1
42169718,73-00,M73-82,#1,2085M31G03,PAT25C77,2085M31G03,PAT12R59,3835854,RD60015-1
42169718,73-00,M73-82,#1,2085M31G03,PAT25C75,2085M31G03,PSDMD326,3835847,RE17551-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNF927,2085M31G03,PAT87J87,3835863,RD91367-1
42169718,73-00,M73-82,#1,2085M31G03,PSDNE209,2085M31G03,PAT62F86,3835807,RF31292-1
42169718,73-00,M73-82,#1,2085M31G03,PAT09E39,2085M31G03,PSDMD325,3835849,RE17549-1
191471422,33-00,B737-8,9ABC,9651-35-0003,6482,9651-35-0003,9163,4184206,ARC175209
35085249,33-42,B737-8,RH,45-0351-4,3700,45-0351-4,4805,3991776,PAV11967
55692532,25-37,B737-8,FWDGALLY,8201-11-0000,08-02-24838,8201-11-0000-01,21-02-0359,3818939,KAV0225008
191311845,23-00,B737-8,F/O,5145-1-82,10968,5145-1-82,24982,4165550,PAV14261
191070526,25-00,B737-8,AFT LH,8201-11-0000-01,14-12-35647,8201-11-0000-01,12-11-32432,4004071,KAV1125019
103467689,33-21,M73-82,CABIN,9651-35-0005,71360,9651-35-0005,58396,3361199,03032595
55679359,36-11,B737-8,#2,107484-7,18521,107484-7,10147,3806650,352475539
55594687,25-00,B737-8,AFTGALLY,72184025,4386,72184025,4243,3848474,WAV415
190436010,25-00,M73-82,AFT,62197-301-001,21-11-0696,62197-301-001,17-07-0394,4180283,PAV14421
42178131,25-00,M73-82,GALLEY 1 FWD,8201-11-0000-01,15-12-37014,8201-11-0000-01,10-07-29054,3636323,1130821
55384838,25-00,M73-82,GALLEY 4,62197-301-001,21-02-0129,62197-301-001,22-12-0118,3786346,PAV9363
55250147,25-00,B737-8,FWD,8201-11-0000-01,09-04-26808,8201-11-0000-01,11-02-29760,3689144,1179562
190634424,33-00,B737-8,25DEF,9651-35-0004,7728,9651-35-0004,24437,3992920,20124575
190728169,33-21,B737-8,CABIN,9651-35-0002,35553,9651-35-0002,72793,3905218,20103412-1.000
190357519,33-00,M73-82,26ABC,9651-35-0004,23121,9651-35-0004,11891,3925101,ARC152542
190180613,23-51,B737-8,#1,5145-1-82,24180,5145-1-88,27329,3916891,PAV10967
40586417,33-42,B737-8,RH,45-0351-4,7185,45-0351-4,3740,3901563,PAV10830
191460986,26-16,B737-8,AFT,473597-5,SJA4195,473597-5,SJA2380,4137683,000001366072
191535541,33-42,B737-8,LH,72605363-1,1576,72605363-1,1174,4188124,356539896
190018788,33-00,B737-8,RH,45-0351-4,7210,45-0351-4,5479,4177111,PAV14411
191384856,33-00,B737-8,RH,45-0351-4,6123,45-0351-4,4861,4196006,PAV14636
191512933,33-20,B737-8,CABIN,9651-35-0003,9295,9651-35-0003,21114,4189989,20248608
190415443,25-32,M73-82,FWD GALLEY,8201-11-0000-01,15-11-36862,8201-11-0000-01,21-06-0265,3953736,KAV0825020
55526863,25-00,B737-8,AFTGALLY,62197-301-001,23-05-0052,62197-301-001,23-08-0259,3906416,PAV10869
55526863,25-00,B737-8,#3,62197-301-001,22-02-0450,62197-301-001,17-01-0353,3881938,PAV10686
55608132,36-11,B737-8,#2,107484-7,19535,107484-7,11823,4008005,4726747
25705342,34-11,B737-8,CAPT,0851HT1,375223,0851HT2,475291,3976279,13991
191433461,33-21,B737-8,5DEF,9651-35-0002,18586,9651-35-0002,34415,4104259,ARC169148
42170809,25-32,M73-82,AFT GALLEY,62197-301-001,16-02-0194,62197-301-001,18-01-1104,4110432,WAV1340
190300502,33-00,M73-82,5ABC,9651-35-0002,54141,9651-35-0002,34375,4026629,ARC162632
191322061,26-00,B737-8,AFT,473597-5,SJB5722,473597-5,SJB0710,4036472,00013223291
191337846,36-00,B737-8,#2,107484-7,19168,107484-7,17227,4044777,355293382
190148909,34-11,B737-8,RH,0851HT1,288073,0851HT2,475534,3976281,6655
40275075,23-27,B737-8,FWD,285W0024-1B,D21747,285W0024-23M,F58438,4207761,177219
42133406,33-00,M73-82,CAB,9651-35-0005,49195,9651-35-0005,48859,4084582,ARC167575
35082397,33-00,B737-8,29 R/H,9651-35-0005,51625,9651-35-0005,37954,4148408,172295
35088440,33-21,B737-8,18ABC,9651-35-0002,18488,9651-35-0002,62658,3766028,2392
190290660,25-31,M73-82,FWD GALLEY,62197-301-001,22-11-0538,62197-301-001,23-05-0405,3912305,1378118
191453320,33-21,B737-8,31 ABC,9651-35-0005,24571,9651-35-0005,33136,4173822,ARC174306
190506765,33-21,B737-8,31ABC,9651-35-0005,23450,9651-35-0005,24769,3872040,147084
55705116,25-00,B737-8,FWD GALLEY,8201-11-0000,04-11-20587,8201-11-0000,08-02-24823,3747830,KAV1124018
55705635,38-00,B737-8,AFTGALLY,62197-301-001,19-07-1220,62197-301-001,18-06-0106,3791309,WAV251
41772636,33-21,B737-8,25DEF,9651-35-0004,18724,9651-35-0004,25247,3807283,65342
190286442,38-11,M73-82,AFT LH,SC4L500301-5,170118752-004,SC4L500301-4,1602345,4054035,E-6074532
41293091,25-31,B737-8,AFTGALLY,8201-11-0000-01,22-03-0052,8201-11-0000,08-05-25465,3591108,1085623
190219853,26-00,B737-8,FWD,473925,18733,473925,8418,3903277,12552782
190219853,26-00,B737-8,FWD,473597-5,38044,473597-5,SJE1345,3908316,408095
190129735,26-00,B737-8,AFT,473597-5,53549,473597-5,19937A,4019826,13132808
190290842,33-21,M73-82,16 ABC,9651-35-0005,67678,9651-35-0005,23044,3851001,ARC144867
190290842,33-21,M73-82,34 R/H,9651-35-0001,12459,9651-35-0001,11969,3865578,20097722
55451628,33-21,M73-82,19ABC,9651-35-0002,51322,9651-35-0002,54073,4121963,170459
42028191,33-00,B737-8,8DEF,9651-35-0002,24496,9651-35-0002,31022,3767109,ARC137264
55573606,33-21,B737-8,30DEF,9651-35-0005,31593,9651-35-0005,24983,3763480,137209
55285719,25-32,M73-82,GALLEY 4,8201-11-0000,02-11-18314,8201-11-0000,09-01-26352,3905120,PAV10856
190502041,33-21,M73-82,5ABC,9651-35-0002,17890,9651-35-0002,39154,3964319,ARC156222
35029213,33-21,B737-8,31ABC,9651-35-0005,24141,9651-35-0005,20904,3916382,151452
190268185,33-42,B737-8,RH,45-0351-4,7208,45-0351-4,5193,3913390,PAV10953
190664752,25-00,B737-8,AFTGALLY,72184025,4116,72184025,N11070874044816,4001291,WAV960
190031211,23-00,B737-8,FL DK,5145-1-82,11060,5145-1-82,18017,3794687,PAV9542
55403315,25-32,M73-82,GALLEY 4,8201-11-0000-01,17-07-39059,8201-11-0000,07-09-24233,3568395,1062967
190194738,25-00,B737-8,AFT LH,8201-11-0000,02-09-18192,8201-11-0000,08-05-25474,4094704,KAV0226029
190636103,25-00,B737-8,FWD,62197-301-001,14-09-7025,62197-301-001,19-07-1213,3840496,1314244
